,Country,Time,LOCATION,Value
6839,United States of America,2013,USA,784427
6838,United States of America,2012,USA,740482
6837,United States of America,2011,USA,709565
6836,United States of America,2010,USA,684807
6835,United States of America,2009,USA,660581
6834,United States of America,2008,USA,624474
6833,United States of America,2007,USA,595874
6831,United States of America,2005,USA,590158
6829,United States of America,2003,USA,586316
6832,United States of America,2006,USA,584719
6830,United States of America,2004,USA,572509
4602,United Kingdom of Great Britain and Northern Ireland,2012,GBR,427686
4601,United Kingdom of Great Britain and Northern Ireland,2011,GBR,419946
4603,United Kingdom of Great Britain and Northern Ireland,2013,GBR,416693
4600,United Kingdom of Great Britain and Northern Ireland,2010,GBR,389958
4599,United Kingdom of Great Britain and Northern Ireland,2009,GBR,368968
2058,United States of America,2003,USA,368145
4597,United Kingdom of Great Britain and Northern Ireland,2007,GBR,351470
4598,United Kingdom of Great Britain and Northern Ireland,2008,GBR,341791
4596,United Kingdom of Great Britain and Northern Ireland,2006,GBR,330078
4595,United Kingdom of Great Britain and Northern Ireland,2005,GBR,318399
4594,United Kingdom of Great Britain and Northern Ireland,2004,GBR,300056
4188,France,2012,FRA,271399
5426,Australia,2010,AUS,271231
4187,France,2011,FRA,268212
5427,Australia,2011,AUS,262597
4633,Germany,2004,DEU,260314
4186,France,2010,FRA,259935
5425,Australia,2009,AUS,257637
4593,United Kingdom of Great Britain and Northern Ireland,2003,GBR,255233
5429,Australia,2013,AUS,249868
5428,Australia,2012,AUS,249588
4185,France,2009,FRA,249143
4182,France,2006,FRA,247510
4183,France,2007,FRA,246612
4184,France,2008,FRA,243436
4632,Germany,2003,DEU,240619
4189,France,2013,FRA,239344
4180,France,2004,FRA,237587